estacion,codigo,tipo,xutm,yutm,cota (m),UTM_points,geometry
Cerroja,C065,A,467000,4784172,677,POINT (467000 4784172),POINT (467000 4784172)
Derio,C003,M,512000,4793400,30,POINT (512000 4793400),POINT (512000 4793400)
Deusto,C039,M,502705,4792288,3,POINT (502705 4792288),POINT (502705 4792288)
Eitzaga,C075,M,540555,4780282,270,POINT (540555 4780282),POINT (540555 4780282)
Elorrio,C074,C,536014,4755405,167,POINT (536014 4755405),POINT (536014 4755405)
Galindo,C038,M,500099,4794599,5,POINT (500099 4794599),POINT (500099 4794599)
Igorre,C033,M,517659,4779523,150,POINT (517659 4779523),POINT (517659 4779523)
Iurreta,C036,M,530732,4780526,175,POINT (530732 4780526),POINT (530732 4780526)
Iruzubieta,C0BD,A,538474,4789407,110,POINT (538474 4789407),POINT (538474 4789407)
La Garbea,C045,M,484372,4784917,717,POINT (484372 4784917),POINT (484372 4784917)
Mañaria,C0B7,A,528830,4776810,168,POINT (528830 4776810),POINT (528830 4776810)
Matxitxako,C019,M,519236,4809650,433,POINT (519236 4809650),POINT (519236 4809650)
Mungia,C057,A,512568,4801183,22,POINT (512568 4801183),POINT (512568 4801183)
Muxika,C063,C,525328,4793031,16,POINT (525328 4793031),POINT (525328 4793031)
Oiz,C046,M,533168,4786440,980,POINT (533168 4786440),POINT (533168 4786440)
Oleta,C0BA,C,539907,4799217,14,POINT (539907 4799217),POINT (539907 4799217)
Ordunte,C059,C,477000,4778900,300,POINT (477000 4778900),POINT (477000 4778900)
Orduña,C072,M,497059,4759050,934,POINT (497059 4759050),POINT (497059 4759050)
Orozko,C0B4,C,506844,4769797,200,POINT (506844 4769797),POINT (506844 4769797)
Otxandio,C054,A,528001,4765557,556,POINT (528001 4765557),POINT (528001 4765557)
Punta Galea,C042,M,497270,4802310,61,POINT (497270 4802310),POINT (497270 4802310)
Sangroniz,C0B9,A,505614,4792725,10,POINT (505614 4792725),POINT (505614 4792725)
Sodupe-Cadagua,C0C3,C,495995,4783316,55,POINT (495995 4783316),POINT (495995 4783316)
Sodupe-Herrerias,C0C4,C,496493,4783287,56,POINT (496493 4783287),POINT (496493 4783287)
Urkiola,C022,M,528860,4772196,709,POINT (528860 4772196),POINT (528860 4772196)
Untzueta,C066,M,507555,4776061,764,POINT (507555 4776061),POINT (507555 4776061)
Urkizu,C0B3,A,518614,4781377,75,POINT (518614 4781377),POINT (518614 4781377)
Venta Alta,C037,M,508142,4784643,162,POINT (508142 4784643),POINT (508142 4784643)
Zaratamo,C0B2,A,509930,4785225,65,POINT (509930 4785225),POINT (509930 4785225)
Agauntza,C0E5,C,567111,4763165,180,POINT (567111 4763165),POINT (567111 4763165)
Aitzu,C0DB,C,555192,4773691,312,POINT (555192 4773691),POINT (555192 4773691)
Aixola,C0D3,A,540642,4778125,320,POINT (540642 4778125),POINT (540642 4778125)
Aizarnazabal,C0DD,C,561436,4789525,25,POINT (561436 4789525),POINT (561436 4789525)
Alegia,C0E9,C,573047,4772479,90,POINT (573047 4772479),POINT (573047 4772479)
Altzola,C078,C,548980,4787513,17,POINT (548980 4787513),POINT (548980 4787513)
Ameraun,C052,M,585392,4777054,285,POINT (585392 4777054),POINT (585392 4777054)
Amundarain,C0E1,A,569284,4764889,111,POINT (569284 4764889),POINT (569284 4764889)
Andoain,C077,C,580084,4784631,52,POINT (580084 4784631),POINT (580084 4784631)
Añarbe,C080,C,593537,4786631,184,POINT (593537 4786631),POINT (593537 4786631)
Araxes,C0E8,C,577492,4773789,141,POINT (577492 4773789),POINT (577492 4773789)
Arrasate,C023,M,541442,4768876,318,POINT (541442 4768876),POINT (541442 4768876)
Behobia,C084,A,600410,4799770,5,POINT (600410 4799770),POINT (600410 4799770)
Belauntza,C0EA,C,577553,4777108,105,POINT (577553 4777108),POINT (577553 4777108)
Berastegi,C026,M,582965,4775170,379,POINT (582965 4775170),POINT (582965 4775170)
Bidania,C058,M,568815,4777366,592,POINT (568815 4777366),POINT (568815 4777366)
Ereñozu,C0F0,C,586314,4788243,25,POINT (586314 4788243),POINT (586314 4788243)
Estanda,C0E7,C,563701,4766917,195,POINT (563701 4766917),POINT (563701 4766917)
Higer,C018,M,597528,4805073,43,POINT (597528 4805073),POINT (597528 4805073)
Ibai Eder,C0DC,C,560566,4780543,90,POINT (560566 4780543),POINT (560566 4780543)
Jaizkibel,C071,M,592554,4799722,545,POINT (592554 4799722),POINT (592554 4799722)
Lasarte,C0EC,C,579571,4789327,18,POINT (579571 4789327),POINT (579571 4789327)
Matxinbenta,C0DE,A,562347,4773633,250,POINT (562347 4773633),POINT (562347 4773633)
Miramon,C017,M,583464,4793182,113,POINT (583464 4793182),POINT (583464 4793182)
Oiartzun,C0F4,C,590556,4795682,53,POINT (590556 4795682),POINT (590556 4795682)
Oñati,C0D1,C,545877,4767884,195,POINT (545877 4767884),POINT (545877 4767884)
Ordizia,C043,M,567064,4766005,243,POINT (567064 4766005),POINT (567064 4766005)
San Prudentzio,C0D2,C,545076,4770206,175,POINT (545076 4770206),POINT (545076 4770206)
Santa Clara,C007,M,581216,4797047,48,POINT (581216 4797047),POINT (581216 4797047)
Urkulu,C0D0,A,543083,4762471,340,POINT (543083 4762471),POINT (543083 4762471)
Zarautz,C064,M,569393,4793780,80,POINT (569393 4793780),POINT (569393 4793780)
Zegama,C028,M,557322,4756460,520,POINT (557322 4756460),POINT (557322 4756460)
Zizurkil,C029,M,576346,4782336,149,POINT (576346 4782336),POINT (576346 4782336)
