_id,latitudeWGS84,longitudeWGS84
887,inf,inf
888,inf,inf
889,inf,inf
890,43.10103541287517,-2.584739771173583
891,43.12925660346771,-2.580380934756779
892,43.13215619698209,-2.584603216137995
893,43.13217712223133,-2.584466247853222
894,43.12785883439705,-2.581569462320473
895,43.12785100365183,-2.581671391424218
896,43.13255160038524,-2.588192953549991
897,43.30231935910911,-2.539582375151423
898,inf,inf
899,inf,inf
900,inf,inf
901,43.29739688810886,-2.564041287784604
902,inf,inf
903,43.29645604238439,-2.564518916583014
904,inf,inf
905,inf,inf
906,43.29350771950725,-2.561401505566845
907,inf,inf
1555,inf,inf
908,43.29579617743759,-2.56022176624469
909,inf,inf
910,inf,inf
911,43.30008306235839,-2.558032784948532
912,43.28764995517583,-2.557559689015352
913,43.30006414855961,-2.562251280487064
914,inf,inf
915,inf,inf
916,43.3005042355894,-2.556808954951379
917,inf,inf
918,inf,inf
919,43.31778505109943,-2.542579782071961
920,inf,inf
1556,inf,inf
922,inf,inf
923,43.29935365784797,-2.564071320793675
924,43.28614128555736,-2.56365463873874
925,43.29914604451395,-2.562045606134444
926,43.29914604451395,-2.562045606134444
927,43.29914604451395,-2.562045606134444
928,inf,inf
929,inf,inf
930,43.42886852082901,-2.810382273514421
931,43.42601551338931,-2.809037635149797
932,43.41988181881239,-2.816365624147388
933,43.41677544411797,-2.808535866653803
934,43.41996779181002,-2.804828089409641
935,43.44181473236192,-2.783031160565643
936,43.42562915373999,-2.821808726614456
937,43.42722073847212,-2.808312439269673
938,43.43280640487173,-2.799844168243421
939,43.4227298089469,-2.810568857103066
940,43.43730897276441,-2.790611054472673
941,43.42852904356558,-2.814704137712946
942,43.41642548693597,-2.811713887717022
943,43.40315548116001,-2.810351583743733
944,43.41957987405566,-2.818033418452512
945,43.44241462691729,-2.783979855911102
946,43.42873633488121,-2.813436363111292
